student_id,gender,age,parental_education,hours_studied,attendance,sleep_hours,previous_scores,internet_usage,tutoring_sessions,extracurricular,exam_score
S0330,female,17,high_school,7.8,73.1,6.9,63.2,4.5,2.0,yes,88.5
S0331,male,20,graduate,4.5,75.3,,52.7,3.1,4.0,no,74.3
S0332,female,16,high_school,,51.8,5.0,53.0,4.4,1.0,no,53.2
S0333,female,16,high_school,2.9,76.8,6.2,57.6,6.2,3.0,no,65.9
S0334,female,19,high_school,2.8,64.8,5.9,52.0,4.6,0.0,no,54.0
S0335,female,17,post_graduate,8.8,83.5,6.9,79.9,3.1,0.0,no,87.1
S0336,female,17,graduate,5.5,63.4,6.5,56.7,4.1,1.0,yes,69.0
S0337,female,21,post_graduate,3.7,50.0,6.6,32.9,4.0,0.0,no,53.4
S0338,male,18,high_school,4.3,70.8,,36.7,6.3,2.0,yes,64.3
S0339,male,16,high_school,6.0,57.6,6.8,62.7,2.9,8.0,yes,80.1
S0340,female,16,graduate,,61.8,6.2,44.8,3.3,2.0,no,57.4
S0341,female,22,high_school,4.0,69.3,5.3,43.5,4.4,,yes,61.8
S0342,female,16,graduate,6.2,74.0,6.5,58.5,1.3,3.0,yes,80.5
S0343,female,16,graduate,6.4,88.0,6.5,84.5,2.9,1.0,no,92.5
S0344,female,22,graduate,2.9,73.1,6.1,34.1,,2.0,yes,59.6
S0345,male,20,post_graduate,1.0,60.1,6.3,28.0,5.3,4.0,yes,53.2
S0346,female,17,high_school,7.2,72.5,6.7,61.8,2.9,5.0,yes,85.5
S0347,male,18,high_school,1.0,55.1,5.4,29.5,6.8,,yes,41.3
S0348,male,20,graduate,1.0,50.0,6.8,37.0,7.4,0.0,yes,58.9
S0349,male,17,none,4.2,55.3,5.2,50.1,5.8,0.0,no,53.2
S0350,male,19,high_school,3.9,63.4,5.8,64.6,4.0,3.0,yes,73.5
S0351,male,16,high_school,7.4,56.8,8.9,44.6,3.8,5.0,no,80.4
S0352,female,18,high_school,9.6,85.1,6.4,71.6,0.5,4.0,yes,97.9
S0353,female,17,none,8.2,76.6,5.8,72.2,2.8,2.0,yes,83.1
S0354,female,19,none,2.6,55.0,7.0,60.3,3.2,2.0,no,61.0
S0355,female,16,graduate,6.8,73.0,4.8,76.6,4.9,3.0,no,89.4
S0356,male,19,graduate,2.9,65.7,5.8,49.5,8.0,1.0,no,56.0
S0357,male,22,graduate,4.4,71.6,8.2,54.2,4.6,2.0,no,69.6
S0358,female,19,graduate,4.5,64.5,5.1,41.8,,1.0,yes,63.7
S0359,male,20,none,3.1,78.0,5.1,54.2,3.2,4.0,yes,60.4
S0360,female,19,high_school,3.5,67.2,4.9,36.7,5.1,2.0,no,60.2
S0361,male,20,none,4.8,77.7,7.5,69.3,3.5,1.0,yes,64.5
S0362,male,21,post_graduate,,78.7,8.2,80.6,1.3,3.0,yes,96.0
S0363,male,20,graduate,2.4,71.1,6.0,40.1,4.4,1.0,yes,60.0
S0364,male,22,high_school,7.7,83.6,7.2,56.7,2.0,4.0,no,94.4
S0365,female,22,high_school,5.8,72.1,8.0,74.1,2.0,3.0,yes,76.8
S0366,male,19,post_graduate,6.3,82.8,7.7,52.5,5.3,0.0,yes,73.1
S0367,female,17,graduate,4.8,68.0,6.4,64.0,2.5,3.0,yes,78.6
S0368,female,19,post_graduate,2.5,70.4,4.7,59.0,4.6,2.0,no,64.1
S0369,male,19,high_school,,65.6,5.9,72.7,2.2,3.0,yes,73.5
S0370,female,17,high_school,4.9,64.1,5.8,45.8,7.0,1.0,yes,61.5
S0371,female,16,graduate,4.8,56.3,6.3,51.5,,2.0,no,61.6
S0372,female,18,graduate,5.4,70.6,6.6,53.3,3.1,3.0,no,76.1
S0373,female,21,graduate,8.9,75.8,8.1,79.3,2.7,6.0,no,83.5
S0374,male,16,graduate,8.2,80.7,8.0,45.0,2.2,3.0,no,81.0
S0375,male,19,graduate,12.1,99.5,7.4,85.5,1.6,,yes,100.0
S0376,male,16,graduate,5.3,67.5,7.0,41.4,,1.0,yes,72.6
S0377,male,18,high_school,6.6,59.7,7.2,54.4,4.1,4.0,yes,85.5
S0378,female,22,high_school,3.5,88.2,6.6,48.5,4.7,1.0,no,63.7
S0379,female,16,post_graduate,9.9,94.3,8.3,95.9,1.2,5.0,yes,100.0
S0380,male,18,high_school,3.4,55.7,6.2,45.2,4.8,2.0,no,56.8
S0381,male,16,graduate,1.5,62.9,7.7,43.4,7.8,0.0,no,46.9
S0382,female,20,graduate,2.1,65.4,5.0,49.1,5.9,0.0,yes,65.6
S0383,male,19,post_graduate,1.0,50.0,5.0,24.1,5.4,0.0,yes,48.2
S0384,female,18,high_school,3.6,66.3,6.1,59.5,4.8,0.0,yes,65.2
S0385,male,21,high_school,3.2,57.5,6.5,44.8,4.5,2.0,yes,65.4
S0386,female,19,post_graduate,4.2,68.3,7.6,42.7,3.7,0.0,yes,70.9
S0387,female,20,post_graduate,,67.9,6.7,76.4,2.1,2.0,no,82.4
S0388,male,22,graduate,8.3,77.3,6.3,86.8,1.3,6.0,yes,92.5
S0389,male,16,high_school,8.7,80.7,7.6,63.4,5.0,4.0,yes,84.3
S0390,male,19,high_school,5.1,68.9,6.8,33.8,5.4,1.0,yes,66.2
S0391,female,16,graduate,1.0,65.1,4.5,45.5,2.1,1.0,no,54.1
S0392,male,16,post_graduate,4.8,81.5,6.7,61.2,4.9,3.0,no,82.2
S0393,male,19,post_graduate,,59.4,4.6,50.9,6.9,0.0,no,52.0
S0394,male,18,none,8.6,84.1,6.9,79.0,1.4,4.0,no,84.8
S0395,male,18,high_school,7.8,88.5,6.4,64.3,3.4,7.0,yes,84.6
S0396,male,19,high_school,1.7,54.4,6.9,56.9,3.5,,yes,63.3
S0397,female,18,post_graduate,1.0,50.0,5.7,38.6,5.5,3.0,yes,52.8
S0398,male,17,graduate,6.9,75.8,6.1,77.0,4.2,3.0,yes,87.6
S0399,male,16,high_school,5.0,77.5,7.1,60.0,3.8,2.0,no,69.7
S0400,male,19,none,8.2,89.9,6.0,73.2,0.5,2.0,yes,84.9
S0401,male,21,graduate,1.0,58.0,6.0,33.4,5.8,0.0,yes,54.3
S0402,female,20,none,3.8,72.6,5.5,57.7,4.6,4.0,no,67.4
S0403,female,22,post_graduate,4.2,63.0,6.2,61.3,5.4,1.0,no,64.9
S0404,male,19,graduate,4.7,73.3,6.9,54.0,4.0,5.0,no,76.1
S0405,male,19,high_school,,64.5,6.7,61.8,4.0,0.0,yes,79.8
S0406,male,16,high_school,8.6,83.0,7.9,40.7,4.5,1.0,no,74.2
S0407,female,20,post_graduate,1.0,58.4,5.9,59.5,5.4,0.0,no,59.2
S0408,female,16,high_school,5.9,65.5,6.7,35.8,3.3,2.0,yes,64.6
S0409,male,21,high_school,6.5,75.5,6.2,50.5,5.2,4.0,no,77.9
S0410,female,22,post_graduate,4.6,82.2,6.9,62.3,3.6,3.0,no,91.2
S0411,female,18,post_graduate,8.0,71.8,7.2,64.2,3.1,2.0,yes,82.1
S0412,female,19,post_graduate,4.5,58.3,5.9,48.2,5.6,0.0,yes,59.1
S0413,female,16,high_school,1.0,50.0,4.3,21.4,4.6,0.0,no,38.6
S0414,female,22,none,6.8,62.8,7.4,76.8,1.8,3.0,yes,88.3
S0415,female,21,none,7.4,74.9,7.0,54.2,3.6,1.0,no,71.1
S0416,male,21,high_school,3.5,67.4,5.6,46.7,4.7,2.0,yes,58.4
S0417,female,22,graduate,9.7,87.6,6.2,77.6,3.7,2.0,no,87.0
S0418,male,17,high_school,5.8,55.6,7.7,57.7,4.1,,no,77.8
S0419,female,19,graduate,8.5,79.0,7.5,67.2,3.6,3.0,yes,86.3
S0420,male,21,high_school,3.2,52.9,6.4,50.9,3.9,1.0,yes,65.0
S0421,female,22,high_school,11.7,100.0,6.6,88.8,2.8,6.0,yes,100.0
S0422,male,18,post_graduate,11.1,78.9,6.7,90.8,2.4,7.0,yes,100.0
S0423,male,16,high_school,4.0,77.6,7.4,45.3,4.3,3.0,yes,71.0
S0424,female,16,high_school,7.4,87.3,7.1,60.9,2.8,,yes,90.9
S0425,male,17,high_school,4.3,69.2,6.4,70.8,2.1,5.0,no,74.7
S0426,male,18,none,9.2,74.6,7.6,75.2,3.0,1.0,yes,79.5
S0427,female,21,high_school,3.4,63.2,5.4,48.8,5.1,0.0,no,55.1
S0428,male,22,high_school,6.6,70.1,8.0,56.2,2.6,,yes,76.9
S0429,female,17,graduate,,81.4,8.1,53.1,4.1,5.0,no,81.5
S0430,male,21,post_graduate,1.0,50.0,5.2,23.3,4.6,0.0,no,52.8
S0431,male,21,graduate,2.9,50.0,5.4,29.6,4.9,1.0,yes,64.3
S0432,female,19,none,1.0,50.0,4.0,23.6,7.7,0.0,no,30.4
S0433,male,20,graduate,4.3,69.1,5.2,44.6,,0.0,no,61.1
S0434,male,22,none,6.5,72.7,5.8,73.2,3.1,2.0,no,75.0
S0435,female,21,graduate,9.1,80.6,7.4,74.7,2.5,6.0,no,99.6
S0436,female,16,graduate,4.6,76.3,6.3,57.6,4.1,1.0,yes,80.0
S0437,female,21,high_school,8.9,95.7,6.2,81.0,0.5,5.0,yes,90.0
S0438,male,17,post_graduate,2.8,54.0,5.6,36.2,5.2,0.0,yes,58.8
S0439,male,22,post_graduate,1.0,50.2,,29.2,8.0,0.0,no,36.2
S0440,female,21,post_graduate,2.5,73.4,6.9,59.3,3.3,2.0,no,79.5
S0441,male,22,high_school,8.6,63.0,5.2,52.8,3.2,1.0,no,72.1
S0442,male,16,graduate,7.0,71.5,6.4,68.5,3.4,1.0,yes,76.9
S0443,male,16,post_graduate,1.0,53.7,4.4,21.6,6.4,0.0,no,39.3
S0444,male,17,high_school,5.8,74.6,7.2,40.5,3.4,1.0,no,66.1
S0445,male,16,post_graduate,1.0,50.0,6.5,37.3,6.1,0.0,yes,53.6
S0446,female,18,none,7.1,70.6,6.1,56.5,3.4,2.0,yes,79.6
S0447,female,18,none,6.4,66.6,6.1,67.2,4.5,2.0,yes,68.7
S0448,male,20,graduate,2.3,61.4,5.7,63.0,3.9,2.0,no,73.5
S0449,male,22,graduate,2.5,68.7,4.4,39.4,4.2,3.0,no,66.5
S0450,male,18,graduate,1.3,71.4,6.2,42.4,5.0,0.0,yes,52.2
S0451,female,17,post_graduate,3.5,65.4,6.3,36.5,4.6,5.0,yes,70.2
S0452,female,21,none,6.1,75.6,7.8,73.9,1.9,2.0,no,89.0
S0453,female,18,high_school,2.4,69.3,5.1,31.4,6.3,2.0,no,57.1
S0454,female,20,post_graduate,5.2,77.4,6.3,56.3,4.8,2.0,no,72.5
S0455,female,22,high_school,4.7,74.8,5.0,36.0,3.4,0.0,no,63.4
S0456,male,19,graduate,5.2,64.4,5.3,50.4,4.4,0.0,yes,81.8
S0457,male,19,graduate,3.9,59.7,5.5,63.5,3.5,2.0,no,68.9
S0458,male,17,none,2.8,50.0,6.8,39.7,8.0,1.0,yes,47.5
S0459,male,20,high_school,4.4,52.1,5.7,38.1,4.1,2.0,no,58.8
S0460,female,18,graduate,2.7,63.3,6.0,52.9,,0.0,yes,60.1
S0461,male,20,post_graduate,10.0,99.2,7.2,77.0,0.5,3.0,no,96.0
S0462,male,16,graduate,6.2,85.1,5.5,33.9,2.8,1.0,yes,73.7
S0463,male,20,graduate,4.0,69.7,6.0,49.1,4.0,1.0,no,58.7
S0464,male,18,high_school,3.7,81.4,7.1,47.2,2.7,2.0,yes,68.4
S0465,female,17,high_school,6.0,64.2,5.5,63.2,3.8,0.0,no,71.9
S0466,female,16,none,5.8,58.5,7.0,47.9,3.4,2.0,no,57.0
S0467,male,20,high_school,5.4,82.9,6.1,70.2,,6.0,yes,92.1
S0468,male,19,none,7.0,80.9,6.5,80.4,4.5,2.0,no,69.7
S0469,male,18,high_school,4.7,65.6,6.7,35.0,6.1,1.0,no,49.3
S0470,male,17,high_school,3.2,67.3,5.7,40.7,,2.0,no,54.4
S0471,female,21,high_school,5.9,69.8,6.4,50.1,5.0,1.0,no,68.0
S0472,female,18,none,2.8,57.3,5.1,35.8,6.9,0.0,no,51.8
S0473,male,20,graduate,1.0,65.2,5.8,25.7,5.2,0.0,no,45.8
S0474,male,22,graduate,6.3,88.0,5.3,69.6,1.2,7.0,no,89.4
S0475,female,17,none,9.6,93.2,5.9,84.5,2.5,5.0,yes,98.0
S0476,female,19,post_graduate,5.5,71.6,6.9,45.5,2.9,1.0,yes,70.7
S0477,male,16,none,6.1,72.1,7.6,65.2,,2.0,yes,80.3
S0478,male,20,post_graduate,8.0,79.2,5.9,44.2,5.0,2.0,yes,71.4
S0479,male,17,none,10.7,89.6,7.8,100.0,2.6,8.0,yes,100.0
S0480,female,16,post_graduate,8.8,89.6,7.3,58.3,3.1,2.0,yes,88.2
S0481,female,22,none,3.8,59.2,7.0,49.9,5.5,1.0,no,54.3
S0482,female,17,graduate,5.2,62.7,4.4,40.3,4.9,0.0,no,59.3
S0483,female,21,high_school,4.0,50.0,5.0,50.0,4.3,0.0,no,56.7
S0484,female,20,graduate,,76.5,6.3,44.8,4.5,2.0,no,73.2
S0485,male,17,high_school,2.3,62.2,6.7,63.5,5.6,0.0,no,51.0
S0486,male,19,none,2.7,50.0,7.8,41.2,5.8,0.0,yes,53.1
S0487,male,22,graduate,2.8,66.9,6.0,49.5,4.5,1.0,yes,60.2
S0488,male,17,none,2.2,54.6,4.8,28.9,6.5,0.0,yes,48.3
S0489,female,20,post_graduate,9.3,93.9,7.7,86.0,0.8,6.0,no,100.0
S0490,male,17,none,4.3,78.8,8.0,61.0,2.0,5.0,yes,84.0
S0491,female,16,high_school,5.0,73.1,6.6,67.5,2.8,2.0,yes,74.6
S0492,female,16,graduate,7.7,77.1,6.5,67.5,2.3,5.0,no,91.6
S0493,male,22,high_school,4.5,66.1,7.3,55.0,2.6,,no,59.6
S0494,male,21,high_school,5.0,57.7,6.6,36.5,4.2,0.0,yes,52.4
S0495,male,18,graduate,6.9,92.1,6.4,68.0,1.3,6.0,yes,88.5
S0496,male,22,graduate,7.6,88.8,7.1,70.5,3.0,2.0,no,85.7
S0497,male,21,post_graduate,2.0,53.2,,44.8,,,no,60.9
S0498,male,22,high_school,4.1,76.7,7.4,64.2,4.3,5.0,yes,65.0
S0499,female,18,graduate,4.0,50.0,6.0,24.1,6.5,3.0,no,60.1
S0500,female,19,high_school,2.1,50.0,5.5,44.9,5.8,1.0,no,50.6
S0501,female,16,high_school,8.2,71.6,7.9,93.9,4.7,5.0,no,84.0
S0502,male,18,graduate,11.2,78.3,6.5,79.1,3.3,2.0,no,88.1
S0503,female,17,high_school,1.0,50.0,6.2,53.0,6.6,,no,53.1
S0504,male,19,high_school,5.5,78.9,5.7,60.8,3.4,2.0,no,76.2
S0505,male,20,high_school,1.7,61.8,7.0,31.5,4.8,1.0,yes,59.1
S0506,female,18,graduate,2.5,68.2,6.1,44.6,5.5,1.0,yes,54.1
S0507,female,22,post_graduate,7.9,69.6,7.2,56.6,4.2,0.0,no,73.9
S0508,male,21,graduate,4.7,63.5,6.5,33.7,2.8,1.0,no,58.2
S0509,male,18,high_school,3.1,75.7,5.5,49.7,4.5,3.0,no,72.4
S0510,female,21,graduate,1.0,61.1,7.2,48.5,3.6,3.0,yes,66.3
S0511,female,22,graduate,6.4,63.2,7.9,59.1,2.5,1.0,no,90.2
S0512,female,22,none,5.7,78.0,7.2,60.1,4.1,1.0,yes,71.7
S0513,female,21,none,5.2,62.9,5.8,53.8,4.2,0.0,no,57.9
S0514,female,16,none,2.3,53.4,5.8,46.2,3.4,0.0,yes,53.7
S0515,female,19,high_school,3.4,62.8,,42.0,4.9,2.0,no,65.8
S0516,male,21,post_graduate,7.4,70.3,6.3,68.6,4.3,2.0,no,78.8
S0517,female,16,high_school,6.4,71.7,8.1,53.2,2.0,6.0,yes,85.9
S0518,male,16,high_school,1.0,63.0,6.1,53.2,6.7,0.0,yes,53.5
S0519,male,21,post_graduate,4.9,73.8,4.4,50.1,2.0,2.0,yes,74.7
S0520,female,19,post_graduate,5.6,70.3,7.1,77.6,5.6,1.0,no,75.4
S0521,female,17,graduate,1.1,50.0,5.4,27.6,5.5,0.0,yes,44.8
S0522,female,22,high_school,10.8,84.0,6.7,65.2,3.5,,yes,81.6
S0523,male,18,none,3.9,67.3,5.9,40.1,2.5,2.0,yes,63.7
S0524,male,16,none,6.0,92.3,7.4,53.4,3.2,4.0,no,83.1
S0525,female,18,none,4.5,71.8,7.0,26.1,5.2,3.0,yes,70.5
S0526,female,19,high_school,1.2,61.1,5.8,20.0,6.1,0.0,yes,39.4
S0527,male,17,graduate,1.6,50.0,5.4,27.3,5.3,0.0,no,42.2
S0528,male,20,none,6.0,76.6,6.5,57.8,2.8,3.0,no,70.0
S0529,female,22,none,8.7,72.2,6.6,69.0,5.0,3.0,yes,81.6
S0530,female,22,high_school,1.0,56.5,5.4,37.0,5.1,0.0,no,42.0
S0531,female,17,graduate,7.3,77.7,7.3,55.8,5.1,0.0,no,74.9
S0532,male,19,graduate,1.0,60.9,6.0,20.0,5.4,0.0,no,48.6
S0533,male,17,graduate,5.7,73.3,7.7,58.8,3.6,2.0,yes,67.0
S0534,female,22,high_school,1.0,50.9,6.9,50.7,6.4,0.0,no,50.9
S0535,female,20,high_school,2.7,69.4,5.6,57.9,2.8,2.0,yes,65.3
S0536,female,16,none,4.7,65.4,7.2,62.8,2.5,2.0,yes,76.2
S0537,male,17,high_school,4.3,63.1,5.3,48.5,6.3,0.0,yes,55.4
S0538,male,21,post_graduate,5.4,63.7,,66.2,,0.0,no,80.7
S0539,male,21,post_graduate,5.6,78.3,6.6,73.4,0.6,2.0,yes,93.3
S0540,female,19,graduate,3.6,70.4,5.4,52.8,,5.0,no,69.7
S0541,female,22,post_graduate,6.0,70.0,7.1,64.3,1.3,4.0,yes,91.9
S0542,female,22,graduate,1.0,74.3,4.0,24.4,5.6,1.0,no,41.6
S0543,male,17,none,6.0,60.7,5.4,56.1,3.4,3.0,no,65.0
S0544,male,20,post_graduate,8.1,79.6,7.1,76.5,0.5,4.0,yes,100.0
S0545,male,19,none,2.5,50.0,5.3,20.0,6.6,0.0,no,35.0
S0546,female,17,graduate,3.7,66.7,5.8,62.3,5.5,0.0,yes,74.3
S0547,female,19,high_school,4.4,75.0,5.5,64.5,3.7,4.0,no,72.0
S0548,male,21,high_school,3.6,67.5,5.7,63.7,5.3,1.0,yes,69.5
S0549,female,20,graduate,7.5,77.0,7.0,56.2,3.1,5.0,yes,96.8
S0550,female,16,high_school,6.6,62.1,6.7,42.8,5.6,2.0,no,61.6
S0551,male,20,high_school,2.8,82.0,1.640622338724468,43.0,3.1,4.0,no,67.3
S0552,male,16,high_school,1.8,75.2,7.3,45.2,2.5,1.0,yes,69.1
S0553,male,22,high_school,10.7,88.7,7.4,77.8,1.0,5.0,yes,100.0
S0554,male,18,post_graduate,6.2,64.8,6.0,58.9,1.9,2.0,yes,78.6
S0555,male,21,graduate,4.5,72.7,6.4,69.5,4.8,3.0,no,72.9
S0556,female,22,high_school,4.8,63.5,5.2,50.6,2.7,4.0,no,67.6
S0557,male,21,high_school,1.0,57.1,6.2,44.2,4.9,0.0,yes,58.7
S0558,female,21,post_graduate,3.9,68.6,7.2,70.0,4.2,2.0,yes,77.5
S0559,female,20,high_school,,69.6,7.2,60.0,3.4,3.0,no,76.9
S0560,male,16,high_school,,71.0,7.4,60.3,6.1,2.0,no,68.3
S0561,male,18,high_school,4.2,64.3,,55.3,3.1,2.0,yes,73.9
S0562,female,18,post_graduate,10.3,100.0,8.6,93.2,2.2,8.0,yes,100.0
S0563,female,18,none,5.8,71.5,6.8,77.3,3.0,1.0,yes,73.8
S0564,female,22,none,4.6,68.5,7.5,52.2,4.2,4.0,no,64.7
S0565,male,19,high_school,6.7,88.3,7.1,49.5,,6.0,no,69.5
S0566,female,20,high_school,3.4,61.4,6.9,49.1,2.8,4.0,no,63.0
S0567,male,20,graduate,1.0,56.4,6.7,36.7,8.0,0.0,no,49.1
S0568,male,22,high_school,3.5,50.1,5.8,45.2,6.0,0.0,no,59.1
S0569,female,21,high_school,1.6,62.9,5.7,31.4,5.7,1.0,no,50.9
S0570,male,20,none,3.8,66.6,7.4,32.5,6.4,0.0,yes,58.4
S0571,female,20,none,5.1,65.4,6.4,48.1,1.8,0.0,no,63.3
S0572,female,19,post_graduate,7.0,84.4,6.3,84.3,1.4,4.0,yes,100.0
S0573,male,20,post_graduate,5.4,79.7,8.4,64.0,2.2,3.0,yes,89.6
S0574,male,16,high_school,4.4,63.1,1.3197744631250936,63.9,4.8,4.0,no,79.5
S0575,female,22,none,11.0,72.3,7.0,66.0,1.7,3.0,yes,85.1
S0576,male,18,none,1.0,50.0,6.3,25.9,7.2,0.0,no,43.6
S0577,male,19,graduate,7.8,62.9,6.1,58.7,3.5,3.0,no,81.2
S0578,female,19,graduate,8.4,92.3,6.1,56.7,2.5,4.0,yes,92.1
S0579,male,21,high_school,1.7,50.7,6.0,20.0,6.2,0.0,yes,33.2
S0580,female,20,graduate,10.5,88.1,5.6,76.5,2.3,3.0,yes,97.6
S0581,female,18,graduate,6.4,75.1,6.4,61.8,2.3,0.0,yes,78.0
S0582,male,22,post_graduate,4.5,58.0,6.5,42.6,7.9,0.0,no,56.1
S0583,female,16,none,6.5,76.3,6.6,48.3,2.7,5.0,no,67.9
S0584,male,22,high_school,12.5,99.0,6.4,95.4,0.5,6.0,yes,100.0
S0585,female,18,none,7.1,70.3,7.9,55.1,2.8,2.0,yes,77.5
S0586,male,22,post_graduate,4.7,82.0,6.7,64.3,2.2,4.0,yes,79.7
S0587,female,17,graduate,1.9,73.6,7.4,66.8,5.5,0.0,no,57.0
S0588,female,18,graduate,2.6,68.9,5.9,20.8,5.4,0.0,no,51.9
S0589,male,16,none,5.9,74.6,6.2,60.5,3.5,3.0,yes,80.5
S0590,male,16,high_school,,52.8,6.3,40.1,4.6,0.0,no,53.1
S0591,male,16,high_school,7.0,65.8,6.4,70.6,3.6,,yes,85.5
S0592,male,19,graduate,3.1,66.8,,31.5,4.1,1.0,yes,58.3
S0593,male,22,high_school,6.1,79.2,7.9,81.5,3.3,1.0,yes,85.2
S0594,male,19,none,5.9,56.0,6.2,61.4,4.6,3.0,yes,66.7
S0595,male,17,graduate,8.9,80.3,5.5,69.6,3.2,2.0,no,74.8
S0596,male,18,high_school,1.0,66.2,7.3,45.4,5.2,1.0,yes,65.7
S0597,male,20,high_school,3.4,65.1,,46.6,4.9,4.0,no,68.9
S0598,female,21,none,2.9,70.5,5.5,50.8,6.2,,no,47.1
S0599,male,17,post_graduate,5.7,68.9,4.9,37.7,,0.0,no,63.4
S0600,female,22,graduate,5.2,84.3,8.1,64.1,4.0,2.0,yes,82.1
S0601,male,20,post_graduate,4.1,75.8,5.8,62.5,4.5,2.0,yes,74.7
S0602,male,22,high_school,3.6,68.3,6.1,33.5,4.3,2.0,yes,59.3
S0603,female,20,post_graduate,6.2,91.8,7.7,93.9,1.9,3.0,yes,100.0
S0604,female,17,post_graduate,6.6,94.0,7.5,79.5,1.0,7.0,no,100.0
S0605,male,18,graduate,5.1,65.4,6.7,67.3,,4.0,yes,82.8
S0606,female,21,post_graduate,9.4,86.7,,94.5,0.5,5.0,yes,100.0
S0607,male,20,high_school,2.2,59.5,5.5,29.2,5.5,2.0,yes,51.5
S0608,female,19,high_school,1.0,61.5,6.0,53.9,5.4,0.0,no,56.0
S0609,male,19,none,1.9,57.7,5.0,20.0,7.5,0.0,no,39.5
S0610,female,17,graduate,10.7,78.2,7.4,69.8,1.4,4.0,no,91.6
S0611,male,21,graduate,7.6,77.1,7.4,60.2,3.0,4.0,no,83.7
S0612,female,21,graduate,3.2,53.3,7.2,60.0,5.4,4.0,yes,72.4
S0613,male,22,none,5.4,84.3,5.7,61.4,5.3,4.0,no,70.7
S0614,female,20,high_school,2.2,54.6,7.7,36.4,,2.0,no,59.1
S0615,male,17,high_school,12.0,94.9,8.3,91.6,1.3,7.0,yes,100.0
S0616,male,21,graduate,6.3,68.8,6.6,47.2,4.2,3.0,yes,73.3
S0617,male,21,high_school,4.2,80.3,7.4,41.7,4.3,0.0,no,66.6
S0618,female,19,post_graduate,6.9,54.6,8.8,73.2,2.8,6.0,yes,87.1
S0619,female,17,high_school,6.9,74.7,5.6,69.2,5.0,5.0,no,71.7
S0620,female,20,high_school,7.7,71.4,6.4,74.2,1.5,2.0,yes,85.7
S0621,female,20,post_graduate,4.1,58.5,4.2,35.2,4.4,0.0,yes,50.6
S0622,female,19,high_school,7.4,88.5,6.9,69.0,4.0,4.0,no,78.1
S0623,male,22,none,9.8,81.7,7.7,80.4,2.3,6.0,no,96.9
S0624,female,16,high_school,10.5,89.6,7.1,87.1,4.0,4.0,yes,95.1
S0625,male,16,none,9.6,88.8,6.8,89.1,3.5,3.0,no,96.2
S0626,male,21,post_graduate,2.4,75.0,4.6,49.4,4.3,2.0,yes,60.1
S0627,male,18,graduate,4.6,54.8,6.3,36.8,6.7,1.0,no,56.4
S0628,male,19,high_school,5.7,62.9,7.6,62.7,3.3,3.0,no,77.4
S0629,male,18,graduate,4.5,79.3,6.1,62.3,5.1,3.0,no,67.9
S0630,female,21,none,7.0,84.3,7.4,64.6,4.9,3.0,yes,86.3
S0631,male,22,graduate,1.2,50.0,4.4,20.0,7.5,1.0,no,40.6
S0632,female,19,post_graduate,9.5,81.0,7.6,75.1,2.3,4.0,no,86.0
S0633,male,20,post_graduate,4.9,71.5,6.1,67.8,,1.0,no,75.1
S0634,male,22,high_school,4.4,72.4,5.7,60.1,2.7,1.0,no,70.7
S0635,female,19,high_school,5.0,54.4,5.4,28.7,5.6,0.0,no,48.7
S0636,female,17,none,2.5,50.0,5.4,20.0,4.6,0.0,no,34.0
S0637,male,18,graduate,7.3,82.4,7.2,80.1,2.1,4.0,yes,95.7
S0638,male,19,graduate,6.6,61.0,5.5,44.7,2.5,3.0,yes,85.0
S0639,male,18,high_school,1.0,50.0,5.5,40.7,5.0,2.0,yes,48.9
S0640,female,22,post_graduate,2.4,50.0,5.8,29.4,5.5,0.0,yes,60.3
S0641,female,21,high_school,6.9,73.2,5.5,66.1,4.7,2.0,no,70.3
S0642,male,19,none,8.8,87.7,8.8,72.3,1.3,,yes,98.1
S0643,female,16,none,3.1,65.6,,62.5,5.6,5.0,no,69.5
S0644,female,18,high_school,1.0,66.1,5.2,34.3,5.6,0.0,no,44.9
S0645,female,20,none,2.8,72.6,5.6,53.8,3.3,0.0,no,57.2
S0646,female,20,graduate,3.1,80.2,,31.2,4.6,3.0,no,68.1
S0647,female,19,high_school,1.0,50.0,5.6,20.0,8.0,1.0,yes,49.1
S0648,female,20,high_school,2.8,69.2,5.7,52.0,4.5,1.0,no,61.2
S0649,female,22,graduate,4.4,54.8,7.3,54.0,3.8,3.0,yes,70.0
S0650,male,20,high_school,,75.1,7.0,54.2,1.3,5.0,yes,85.3
S0651,female,18,graduate,8.3,86.5,,71.8,1.5,,yes,100.0
S0652,female,22,high_school,10.1,86.3,,77.5,2.9,4.0,yes,94.0
S0653,male,19,graduate,,67.7,5.8,56.6,3.9,,yes,69.0
S0654,female,18,post_graduate,3.8,63.9,6.2,37.0,3.3,0.0,no,55.6
S0655,female,19,none,10.4,100.0,7.4,100.0,0.5,7.0,yes,100.0
S0656,female,20,graduate,6.4,87.8,8.0,44.1,5.7,,no,77.5
S0657,female,22,post_graduate,3.4,67.6,5.5,51.6,5.7,3.0,yes,72.3
S0658,male,19,graduate,6.3,62.2,7.7,71.1,3.0,1.0,yes,79.3
S0659,female,21,high_school,5.8,73.9,6.5,58.7,4.6,3.0,yes,76.3
S0660,male,19,high_school,5.5,62.1,6.7,54.1,2.8,3.0,no,65.7
S0661,female,17,graduate,1.8,76.1,6.9,69.5,6.4,2.0,no,67.2
